Case,NBP,Vfr,V_j,U_w,U_w/V_j,Re_j,Re_w,Re_j/sqrt(Re_w),1/sqrt(Re_w),Lh/d,Lw/d,H/d,Lw/Lh
GW65N13,30.42,8.68E-07,13.96604181,59.69,4.273956875,337.3205435,1441.693456,8.88E+00,0.026336832,1.061181435,3.09202454,5.94E-02,2.913756723
GW65N13,30.42,8.68E-07,13.96604181,62.83,4.498901973,337.3205435,1517.572059,8.66E+00,0.025669969,1.056016598,3.024390244,5.77E-02,2.863960899
GW65N13,30.33,8.66E-07,13.93818801,65.97,4.733287117,336.647793,1593.450662,8.43E+00,0.025051324,1.020491803,3.099378882,5.35E-02,3.037142358
GW65N13,40.48,1.05E-06,16.93077477,15.71,0.92777581,408.9274702,379.3930147,2.10E+01,0.051339937,2.257201646,7.320754717,1.16E-01,3.243287869
GW65N13,40.45,1.05E-06,16.92231948,18.85,1.11388725,408.7232505,455.2716176,1.92E+01,0.046866736,2.119834711,6.70625,1.05E-01,3.163572125
GW65N13,40.22,1.05E-06,16.85742752,21.99,1.304537632,407.1559207,531.1502206,1.77E+01,0.043390167,1.97107438,6.358490566,9.47E-02,3.225900874
GW65N13,40.27,1.05E-06,16.87154474,25.13,1.489652644,407.4968927,607.0288235,1.65E+01,0.040587784,1.863636364,5.955696203,8.85E-02,3.195739426
GW65N13,40.53,1.05E-06,16.94486237,31.42,1.854008953,409.2677267,758.7860294,1.49E+01,0.036302818,1.690082645,5.289308176,8.01E-02,3.129615107
GW65N13,40.43,1.05E-06,16.91668149,34.56,2.042807226,408.5870765,834.6646324,1.41E+01,0.034613379,1.595435685,5.018867925,7.66E-02,3.145766371
GW65N13,40.35,1.05E-06,16.89412042,37.7,2.231493023,408.0421609,910.5432353,1.35E+01,0.033139787,1.528688525,4.80625,7.32E-02,3.144034853
GW65N13,39.99,1.04E-06,16.79241438,40.84,2.432092465,405.5856643,986.4218382,1.29E+01,0.031839678,1.542194093,4.490909091,7.19E-02,2.912025867
GW65N13,40.32,1.05E-06,16.88565625,43.98,2.604713521,407.8377267,1062.300441,1.25E+01,0.030681481,1.453781513,4.436708861,6.80E-02,3.051840199
GW65N13,40.35,1.05E-06,16.89412042,47.12,2.789366279,408.0421609,1138.179044,1.21E+01,0.029641127,1.4,4.243076923,6.64E-02,3.030769231
GW65N13,40.17,1.05E-06,16.84330457,50.27,2.984300513,406.8148103,1214.057647,1.17E+01,0.028699897,1.355967078,4.132307692,6.37E-02,3.047498541
GW65N13,40.22,1.05E-06,16.85742752,56.55,3.354525339,407.1559207,1365.814853,1.10E+01,0.027058523,1.314049587,3.84,6.10E-02,2.922264151
